MILLER2019,Teacher Education Programs,Technological Literacy,Pedagogical Content Knowledge,Teacher Attitudes,College Faculty,Handheld Devices,Telecommunications,Technology Uses in Education,Faculty Development,Technology Integration,Teacher Characteristics,,,,,,,,,,,,,,,
MITCHELL2019,Preservice Teachers,Technology Integration,Educational Technology,Technology Uses in Education,Web Sites,Electronic Publishing,Elementary School Teachers,Cooperation,Communities of Practice,Self Efficacy,Peer Relationship,Student Attitudes,,,,,,,,,,,,,,
MOUZA2017,Longitudinal Studies,Pedagogical Content Knowledge,Technological Literacy,Preservice Teachers,Teacher Education Programs,Program Design,Qualitative Research,Statistical Analysis,Skill Development,Technology Integration,Elementary School Teachers,Middle School Teachers,Teaching Methods,Undergraduate Students,Course Descriptions,Electronic Publishing,Student Surveys,Student Attitudes,Likert Scales,Case Studies,,,,,,
NELSON2017,Mentors,Pedagogical Content Knowledge,Technological Literacy,Preservice Teachers,Technology Integration,Teacher Education Programs,Technology Uses in Education,Preservice Teacher Education,Undergraduate Students,Student Surveys,Statistical Analysis,Least Squares Statistics,Regression (Statistics),,,,,,,,,,,,,
OTTENBREITLEFTWICH2018,Technology Integration,Asynchronous Communication,Video Technology,Mentors,Preservice Teachers,Experienced Teachers,Teacher Attitudes,Student Attitudes,Teacher Education Programs,Resources,Instructional Program Divisions,Self Efficacy,,,,,,,,,,,,,,
PARK2017,Service Learning,Multimedia Instruction,Preservice Teachers,Preservice Teacher Education,Undergraduate Students,Elementary Schools,Middle Schools,Grade 6,College School Cooperation,Skill Development,Design,Outcomes of Education,Models,Technology Integration,Teaching Skills,,,,,,,,,,,
PARRA2019,Undergraduate Students,Pedagogical Content Knowledge,Technological Literacy,Technology Integration,Blended Learning,Educational Technology,Preservice Teachers,,,,,,,,,,,,,,,,,,,
POLLY2018,Elementary School Teachers,Preservice Teachers,Video Technology,Computer Software,Science Instruction,Pedagogical Content Knowledge,Technological Literacy,Thinking Skills,Teaching Methods,Technology Integration,Science Teachers,Teacher Educators,Instructional Design,Units of Study,Skill Development,Lesson Plans,Interdisciplinary Approach,Educational Technology,,,,,,,,
RUST2017,Educational Technology,Technology Uses in Education,Technology Integration,Ethnography,High Schools,Secondary School Teachers,English Teachers,Researchers,Teaching Methods,Conventional Instruction,Educational Change,Ideology,Expectation,Pedagogical Content Knowledge,Technological Literacy,Teacher Education,Cooperative Planning,Case Studies,,,,,,,,
SONG2018,Preservice Teachers,Self Efficacy,Technology Integration,Service Learning,Student Attitudes,Shared Resources and Services,Elementary Schools,Educational Technology,Technology Uses in Education,Technological Literacy,Reflection,Student Journals,,,,,,,,,,,,,,
THOMAS2019,Undergraduate Study,Teacher Education Programs,Teacher Educators,Teacher Collaboration,Teacher Competencies,Technological Literacy,Elementary School Mathematics,Educational Technology,Pedagogical Content Knowledge,Technology Integration,STEM Education,Self Evaluation (Individuals),Barriers,Mathematics Teachers,,,,,,,,,,,,
TRAININ2018,Teacher Education Programs,Technological Literacy,Pedagogical Content Knowledge,Technology Integration,Elementary School Teachers,Preservice Teachers,Structural Equation Models,Educational Change,Longitudinal Studies,Program Design,Self Efficacy,Teacher Attitudes,Teaching Methods,Modeling (Psychology),Educational Technology,,,,,,,,,,,
VASINDA2017,Handheld Devices,Telecommunications,Technology Uses in Education,Educational Technology,Elementary Education,Methods Courses,Preservice Teacher Education,Teacher Educators,Technology Integration,Teaching Methods,Access to Computers,Technological Literacy,Faculty Development,Pedagogical Content Knowledge,Autobiographies,Ethnography,Teacher Attitudes,Qualitative Research,,,,,,,,
VOITHOFER2019,Educational Technology,Technology Uses in Education,Teacher Educators,Technology Integration,Technological Literacy,Pedagogical Content Knowledge,Elementary Secondary Education,Teacher Education Programs,Influences,,,,,,,,,,,,,,,,,
WILLIAMS2017A,Technology Education,Preservice Teacher Education,Inservice Teacher Education,Outcomes of Education,Teacher Attitudes,Faculty Development,Program Effectiveness,Technological Literacy,Skill Development,Technology Integration,Qualitative Research,Phenomenology,Semi Structured Interviews,,,,,,,,,,,,,
WILLIAMS2017B,Technology Integration,Inservice Teacher Education,Qualitative Research,Teacher Attitudes,Semi Structured Interviews,Technology Transfer,Technological Advancement,Educational Technology,Technology Uses in Education,Research Design,Phenomenology,,,,,,,,,,,,,,,
WIMMER2019,Value Judgment,Preservice Teachers,Student Attitudes,Educational Needs,Teacher Educators,Teacher Background,Technology Integration,Curriculum Enrichment,Elementary School Teachers,21st Century Skills,Futures (of Society),Multiple Literacies,Technological Literacy,Literacy,Conventional Instruction,Success,Access to Information,Teacher Role,Role of Education,,,,,,,
ZIPKE2018,Elementary School Teachers,Preservice Teacher Education,Technology Integration,Educational Technology,Technology Education,Cooperating Teachers,Methods Courses,Technological Literacy,Pedagogical Content Knowledge,Practicums,Preservice Teachers,Student Teachers,Self Efficacy,Student Teaching,Success,Educational Benefits,Barriers,,,,,,,,,
ZIPKE2019,Preservice Teachers,Modeling (Psychology),Self Efficacy,Student Attitudes,Technology Integration,Elementary School Curriculum,Technological Literacy,Teacher Student Relationship,Educational Technology,Lesson Plans,Pedagogical Content Knowledge,Transfer of Training,Web Sites,Reflection,College Curriculum,Teacher Educators,Cooperating Teachers,,,,,,,,,
ZOCH2017,Multiple Literacies,Language Arts,English,English Instruction,Qualitative Research,Technology Integration,Teaching Methods,Barriers,Summer Programs,Writing Instruction,Graduate Study,Inservice Teacher Education,Teacher Attitudes,Faculty Development,Case Studies,Observation,Interviews,,,,,,,,,
ZOELLNER2017,Textbooks,Electronic Publishing,Elementary Secondary Education,Preservice Teachers,Science Teachers,Technology Integration,Educational Technology,Technology Uses in Education,Student Attitudes,Methods Courses,Secondary School Science,Online Surveys,Pretests Posttests,Likert Scales,Qualitative Research,Statistical Analysis,,,,,,,,,,
