MADERICK2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
MAENGMUL2013,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
MOURLAMM2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
MOUZAKAR2013,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
NIESSGIL2013,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
NUSSLIOH2014,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
ORTEGA2013,no_academic,no_technical,no_deliberative,developmental,no_reconstruction,no_other_tradition
PILGRIMB2014,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
PITTSBAN2013,academic,no_technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
POLLY2015,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
POLLYROC2016,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
RAYPOWEL2014,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
REHMATBA2014,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
SADAFNEW2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
SCHMIDTF2016,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
SHENHANN2013,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
SHINASKA2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
STOVERYE2014,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
TOURNAKI2014,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
WAKEWHIT2013,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
WEBBKAPA2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
WETZELBU2014,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
WILLIS2015,no_academic,technical,no_deliberative,no_developmental,no_reconstruction,no_other_tradition
WYANTJON2015,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
BRENNERB2016,no_academic,no_technical,deliberative,no_developmental,no_reconstruction,no_other_tradition
